"simCAlpha","fitAlpha","simBeta","fitBeta","BIC"
NA,NA,NA,NA,NA
0.111111111111111,0.201784645010166,2,1.39225341589608,257.773298714214
0.111111111111111,0.0802507375998088,3,3.16572995140405,231.471948815899
0.111111111111111,0.062612599072454,4,7.29432835867211,203.311462573667
0.111111111111111,0.11587538242356,5,4.76865175620858,149.150170119791
0.111111111111111,0.0775579476700058,6,9.52333517039876,93.2329643618628
0.111111111111111,0.0885024007752564,7,6.34348351912642,151.895899117694
0.111111111111111,0.114874273242665,8,6.81650924975877,127.673480473129
0.111111111111111,0.0997943401911084,9,10,48.0874929006712
0.111111111111111,0.102521557766657,10,10,62.5336648627312
0.222222222222222,0.410074201551289,1,0.91543502502109,263.838420123676
0.222222222222222,0.483685834100535,2,1.76271850296881,228.791915036174
0.222222222222222,0.27722220875446,3,2.32701571437623,222.938332537415
0.222222222222222,0.270457655143117,4,4.69552571549821,143.982757163366
0.222222222222222,0.259356767753193,5,8.95812453062718,47.5719457730321
0.222222222222222,0.288442043250159,6,7.95510344774453,68.3274189125786
0.222222222222222,0.261466163044544,7,8.05317071968179,60.898929078984
0.222222222222222,0.236171688721687,8,9.62579491680476,57.5208406772915
0.222222222222222,0.229031771699089,9,10,56.8212866790974
0.222222222222222,0.207905988232612,10,10,58.2207451795014
0.333333333333333,0.137798819596484,1,1.01644836761333,268.506568137516
0.333333333333333,0.205686017770021,2,1.78735992058282,237.911458652592
0.333333333333333,0.265455593596269,3,2.79257927265896,206.996983855326
0.333333333333333,0.329830619116055,4,4.01099236792544,149.404271444797
0.333333333333333,0.303930029961784,5,6.12603448495888,96.9954698681474
0.333333333333333,0.375012477174936,6,8.12303399957721,66.8216399963885
0.333333333333333,0.295294922569932,7,8.12788547703399,77.3145474365403
0.333333333333333,0.295837547941057,8,10,49.1215013307184
0.333333333333333,0.285494724206222,9,9.3956978591653,57.8327189399272
0.333333333333333,0.36127497692827,10,8.17147163165841,79.0583348018852
0.444444444444444,0.82447360248158,1,0.581775085954752,269.614387316982
0.444444444444444,0.558779754549245,2,1.88040011273306,232.501248181484
0.444444444444444,0.403181912735189,3,3.19123584764405,178.645849774235
0.444444444444444,0.440098544924071,4,3.68716608394583,159.990211703039
0.444444444444444,0.475351109171913,5,5.27997805652467,87.1161234034334
0.444444444444444,0.444809650822972,6,7.88554458500396,59.5016469701915
0.444444444444444,0.41139736369008,7,7.44364686932347,67.5481553749246
0.444444444444444,0.450385340297705,8,10,46.3960578168977
0.444444444444444,0.471807936520789,9,7.82865470100311,69.4313610412827
0.444444444444444,0.530393966764662,10,10,33.9206485882613
0.555555555555556,0.473942433017037,1,1.42946452522122,251.034691113979
0.555555555555556,0.941759772519576,2,1.55250569507237,223.189599770478
0.555555555555556,0.511178965122566,3,2.88642048688878,176.199551555042
0.555555555555556,0.466897996506564,4,3.69406794380581,159.457511718456
0.555555555555556,0.614493606536746,5,4.47776388233646,97.6885141015635
0.555555555555556,0.511255578536335,6,6.96438685085005,75.2066532945508
0.555555555555556,0.610854949236003,7,6.39525892073761,51.5408867282836
0.555555555555556,0.525508602895351,8,6.79715931175894,69.6021422365195
0.555555555555556,0.551356758689725,9,9.27999426263569,43.3376924466179
0.555555555555556,0.754304635706532,10,6.58280832297756,33.4664809125424
0.666666666666667,0.601054342034686,1,1.39600150618084,245.266685937594
0.666666666666667,0.736653449638721,2,1.60532710537516,234.723241250041
0.666666666666667,0.688537230479891,3,2.69294025575976,173.17663666465
0.666666666666667,0.63187151845966,4,3.92050857897851,126.674119143762
0.666666666666667,0.647029764394283,5,5.58559344667822,70.1795711685938
0.666666666666667,0.622264509328732,6,7.00757423051075,45.94925226093
0.666666666666667,0.760377971079881,7,4.5680491921127,73.7782626662997
0.666666666666667,0.66320076670847,8,7.42519210516576,28.7627175725393
0.666666666666667,0.641330995012529,9,10,20.2283590913943
0.666666666666667,1,10,10,11.9271613030137
0.777777777777778,0.54565044591171,1,1.36627075832153,250.69679623052
0.777777777777778,0.668176491057111,2,2.11540847353287,206.313819682526
0.777777777777778,0.638542463307605,3,3.5896314784793,132.675230550053
0.777777777777778,0.757418505415881,4,4.11824333033649,86.6838022539148
0.777777777777778,0.808888477189712,5,5.74099984475014,34.5880211591438
0.777777777777778,0.83390046887905,6,6.37335080598333,24.5974112508232
0.777777777777778,0.887220855729601,7,6.09239962653725,24.8470547383497
0.777777777777778,0.601052846706303,8,8.57962538655063,36.0324522453476
0.777777777777778,1,9,10,11.9271613030137
0.777777777777778,1,10,10,11.9271613030137
0.888888888888889,1,1,0.736822225666179,263.585273079657
0.888888888888889,0.957338822901636,2,1.77111144599173,207.034240357248
0.888888888888889,0.727225044766146,3,3.45660094953613,121.864188432375
0.888888888888889,0.759833182613708,4,4.70875755448335,65.9435779058281
0.888888888888889,0.878824970714622,5,4.55875247626083,53.2567247188907
0.888888888888889,0.693620661418266,6,8.93013488109887,22.413340736404
