"","SubNum","character","response","respCat","corrCat","accuracy","cumAcc","cumAccBlock","cumAccbyChar","RT","trialNum","trialNbychar","listN","NfromChange","befAft","iCP","trialCond","image","recogAcc","confidence","association","RTrecog","corr_ans_assoc"
"3599",23,"m2",2,"Hand labour tool & accessory","Outdoor activity & sport item",0,0.522935779816514,0,0,2.8808,123,1,5,1,0,"afterCP",1,"bikewheel.jpg",0,2,"left",2.7079,1
"3600",23,"m2",4,"Outdoor activity & sport item","Outdoor activity & sport item",1,0.527272727272727,0.5,0.5,2.1986,124,2,5,3,0,"afterCP",1,"patioumbrella.jpg",1,4,"left",2.5155,1
"3601",23,"m2",2,"Outdoor activity & sport item","Outdoor activity & sport item",1,0.531531531531532,0.666666666666667,0.666666666666667,0.5975,125,3,5,4,0,"beforeCP",1,"exercisebike.jpg",0,3,NA,2.8496,NA
"3602",23,"m5",4,"Hand labour tool & accessory","Electronic device & accessory",0,0.526785714285714,0.5,0,1.8187,126,1,5,5,0,"afterCP",1,"crocodileclips.jpg",1,4,NA,2.9716,NA
"3603",23,"m5",3,"Hand labour tool & accessory","Electronic device & accessory",0,0.52212389380531,0.4,0,2.467,127,2,5,8,0,"afterCP",1,"ipad02.jpg",1,4,"right",0.9105,1
"3604",23,"m2",NA,NA,"Outdoor activity & sport item",0,0.517543859649123,0.333333333333333,0.5,NA,128,4,5,9,0,"afterCP",1,"snowboard.jpg",1,4,"right",1.0888,0
"3605",23,"m2",3,"Outdoor activity & sport item","Outdoor activity & sport item",1,0.521739130434783,0.428571428571429,0.6,1.1151,129,5,5,10,0,"afterCP",1,"boatmotor.jpg",1,4,"right",1.4795,0
"3606",23,"m5",2,"Electronic device & accessory","Electronic device & accessory",1,0.525862068965517,0.5,0.333333333333333,1.9482,130,3,5,11,0,"afterCP",1,"desktopcomputer.jpg",1,4,"left",1.2397,0
"3607",23,"m5",3,"Electronic device & accessory","Electronic device & accessory",1,0.52991452991453,0.555555555555556,0.5,0.7826,131,4,5,13,0,"beforeCP",1,"electricoutlet.jpg",1,4,"right",2.5379,1
"3608",23,"m2",1,"Kitchen & utensil","Outdoor activity & sport item",0,0.525423728813559,0.5,0.5,0.9687,132,6,5,14,0,"afterCP",1,"soccerball.jpg",1,4,"left",0.9564,1
"3609",23,"m5",2,"Outdoor activity & sport item","Electronic device & accessory",0,0.521008403361344,0.454545454545455,0.4,1.1148,133,5,5,15,0,"afterCP",1,"carantenna.jpg",1,4,NA,1.1725,NA
"3610",23,"m2",4,"Outdoor activity & sport item","Outdoor activity & sport item",1,0.525,0.5,0.571428571428571,1.7829,134,7,5,16,0,"afterCP",1,"reflector.jpg",1,4,"left",3.2724,1
"3611",23,"m5",2,"Kitchen & utensil","Electronic device & accessory",0,0.520661157024793,0.461538461538462,0.333333333333333,1.4123,135,6,5,17,0,"afterCP",1,"slidetray.jpg",1,4,"right",2.1247,1
"3612",23,"m2",3,"Hand labour tool & accessory","Outdoor activity & sport item",0,0.516393442622951,0.428571428571429,0.5,1.7268,136,8,5,18,0,"afterCP",1,"iceskate.jpg",1,4,"right",1.2263,0
"3613",23,"m2",3,"Outdoor activity & sport item","Outdoor activity & sport item",1,0.520325203252033,0.466666666666667,0.555555555555556,0.9164,137,9,5,19,0,"afterCP",1,"toyhockeystick01.jpg",1,4,"left",1.4718,1
"3614",23,"m2",2,"Outdoor activity & sport item","Outdoor activity & sport item",1,0.524193548387097,0.5,0.6,0.5805,138,10,5,20,0,"afterCP",1,"swimgoggles.jpg",1,4,"left",1.1584,1
"3615",23,"m2",2,"Outdoor activity & sport item","Outdoor activity & sport item",1,0.528,0.529411764705882,0.636363636363636,0.7817,139,11,5,21,0,"afterCP",1,"surfboard.jpg",1,4,"right",1.2213,0
"3616",23,"m2",1,"Outdoor activity & sport item","Outdoor activity & sport item",1,0.531746031746032,0.555555555555556,0.666666666666667,0.7975,140,12,5,23,0,"beforeCP",1,"propanetank01.jpg",1,4,NA,1.2251,NA
"3617",23,"m5",1,"Outdoor activity & sport item","Electronic device & accessory",0,0.52755905511811,0.526315789473684,0.285714285714286,0.8812,141,7,5,26,1,"afterCP",1,"outletadapter.jpg",1,4,"right",1.6741,1
"3618",23,"m5",3,"Hand labour tool & accessory","Electronic device & accessory",0,0.5234375,0.5,0.25,3.0987,142,8,5,28,1,"afterCP",1,"dvdplayer.jpg",1,4,NA,2.9255,NA
"3619",23,"m5",4,"Electronic device & accessory","Electronic device & accessory",1,0.527131782945736,0.523809523809524,0.333333333333333,0.8333,143,9,5,31,1,"afterCP",1,"filmnegative.jpg",1,4,"left",1.2031,0
"3620",23,"m5",2,"Kitchen & utensil","Electronic device & accessory",0,0.523076923076923,0.5,0.3,1.1654,144,10,5,32,1,"afterCP",1,"wire.jpg",1,4,"left",1.3912,0
"3621",23,"m5",3,"Electronic device & accessory","Electronic device & accessory",1,0.526717557251908,0.521739130434783,0.363636363636364,0.8344,145,11,5,33,1,"afterCP",1,"gps.jpg",1,4,"right",1.1981,1
"3622",23,"m5",1,"Kitchen & utensil","Electronic device & accessory",0,0.522727272727273,0.5,0.333333333333333,0.882,146,12,5,34,1,"afterCP",1,"satellitedish01.jpg",1,4,"right",1.0917,1
"3623",23,"m5",3,"Electronic device & accessory","Electronic device & accessory",1,0.526315789473684,0.52,0.384615384615385,1.6495,147,13,5,35,1,"afterCP",1,"extensioncord.jpg",1,4,NA,1.7895,NA
"3624",23,"m2",1,"Kitchen & utensil","Outdoor activity & sport item",0,0.522388059701492,0.5,0.615384615384615,1.1823,148,13,5,36,1,"afterCP",1,"bikehelmet.jpg",1,4,"left",0.9404,1
