"first_character","second_character","Cue","left_categ","centleft_categ","centright_categ","right_categ","corr_ans","trial_cond","switch_cond","cuedCharacter","obj_category","image","participant","task_resp.keys","task_resp.corr","task_resp.rt","trialNum","response","respCat","Q1","V1","Delta1","Q2","V2","Delta2","Q3","V3","Delta3","Q4","V4","Delta4","Prob","Delta","P1","P2","P3","P4"
"stimuli/m2.jpg","stimuli/m5.jpg",1,"stimuli/Hand labour tool & accessory.png","stimuli/Outdoor activity & sport item.png","stimuli/Kitchen & utensil.png","stimuli/Electronic device & accessory.png",3,1,4,"stimuli/m2.jpg","Kitchen & utensil","stimuli/objects/gasburner.jpg",4,3,1,2.34487,154,3,"Kitchen & utensil",NA,0.0101943286808132,-0.0137396803133391,NA,0.0130640751554675,-0.0176074582099152,NA,0.885883723030451,0.153803277606799,NA,0.0908578731332684,-0.122456139083545,0.952688919326918,NA,0.0125120791599192,0.0127665017741315,0.952688919326918,0.0220324997390312
"stimuli/m2.jpg","stimuli/m5.jpg",1,"stimuli/Hand labour tool & accessory.png","stimuli/Outdoor activity & sport item.png","stimuli/Electronic device & accessory.png","stimuli/Kitchen & utensil.png",4,1,4,"stimuli/m2.jpg","Kitchen & utensil","stimuli/objects/espressomachine.jpg",4,4,1,1.110935,155,4,"Kitchen & utensil",NA,0.0075638104295306,-0.0101943286808132,NA,0.0096930549334823,-0.0130640751554675,NA,0.915329992494158,0.114116276969549,NA,0.0674131421428295,-0.0908578731332684,0.964236063268144,NA,0.0101121305627841,0.0102642972784464,0.964236063268144,0.015387508890625
"stimuli/m5.jpg","stimuli/m2.jpg",1,"stimuli/Hand labour tool & accessory.png","stimuli/Outdoor activity & sport item.png","stimuli/Electronic device & accessory.png","stimuli/Kitchen & utensil.png",1,1,4,"stimuli/m5.jpg","Hand labour tool & accessory","stimuli/objects/metalbrush.jpg",4,1,1,0.60952,156,1,"Hand labour tool & accessory",NA,0.00224283983564011,-0.00302284763426511,NA,0.896463994946755,0.139543431930858,NA,0.0931870116991256,-0.125595298149563,NA,0.00810615351847922,-0.0109252861470294,0.956594255357769,NA,0.0110319118340083,0.956594255357769,0.0208787304110581,0.0114951023971642
"stimuli/m5.jpg","stimuli/m2.jpg",1,"stimuli/Hand labour tool & accessory.png","stimuli/Outdoor activity & sport item.png","stimuli/Kitchen & utensil.png","stimuli/Electronic device & accessory.png",1,1,4,"stimuli/m5.jpg","Hand labour tool & accessory","stimuli/objects/drillbit03a.jpg",4,1,1,0.654705,157,1,"Hand labour tool & accessory",NA,0.0016641032354107,-0.00224283983564011,NA,0.923180158363189,0.103536005053245,NA,0.0691412758069334,-0.0931870116991256,NA,0.00601446259446663,-0.00810615351847922,0.966530570691112,NA,0.00920422298703554,0.966530570691112,0.0147757766129921,0.0094894297088607
"stimuli/m5.jpg","stimuli/m2.jpg",2,"stimuli/Kitchen & utensil.png","stimuli/Hand labour tool & accessory.png","stimuli/Outdoor activity & sport item.png","stimuli/Electronic device & accessory.png",1,1,4,"stimuli/m2.jpg","Kitchen & utensil","stimuli/objects/tray.jpg",4,1,1,1.24857,158,1,"Kitchen & utensil",NA,0.00561206431587334,-0.0075638104295306,NA,0.00719188406568407,-0.0096930549334823,NA,0.937178022615017,0.0846700075058424,NA,0.0500180290034251,-0.0674131421428295,0.970905405140917,NA,0.00861652836912581,0.00871254636202014,0.970905405140917,0.0117655201279369
"stimuli/m2.jpg","stimuli/m5.jpg",2,"stimuli/Outdoor activity & sport item.png","stimuli/Kitchen & utensil.png","stimuli/Hand labour tool & accessory.png","stimuli/Electronic device & accessory.png",4,0,4,"stimuli/m5.jpg","Electronic device & accessory","stimuli/objects/dvdcase01.jpg",4,3,0,1.45058,159,3,"Hand labour tool & accessory",NA,0.25927212035698,0.998335896764589,NA,0.684965133928387,-0.923180158363189,NA,0.0513002395188437,-0.0691412758069334,NA,0.00446250619578998,-0.00601446259446663,0.972336142454088,NA,0.00803327586300486,0.972336142454088,0.0114133430868531,0.00821723859605435
"stimuli/m5.jpg","stimuli/m2.jpg",2,"stimuli/Outdoor activity & sport item.png","stimuli/Hand labour tool & accessory.png","stimuli/Kitchen & utensil.png","stimuli/Electronic device & accessory.png",3,1,4,"stimuli/m2.jpg","Kitchen & utensil","stimuli/objects/muffintray01.jpg",4,3,1,0.913925,160,3,"Kitchen & utensil",NA,0.00416394173002211,-0.00561206431587334,NA,0.00533610887064874,-0.00719188406568407,NA,0.953388443454585,0.0628219773849825,NA,0.0371115059447438,-0.0500180290034251,0.975014508997069,NA,0.00764489112813375,0.00770800890191546,0.975014508997069,0.00963259097288208
"stimuli/m2.jpg","stimuli/m5.jpg",1,"stimuli/Outdoor activity & sport item.png","stimuli/Electronic device & accessory.png","stimuli/Hand labour tool & accessory.png","stimuli/Kitchen & utensil.png",3,0,4,"stimuli/m2.jpg","Hand labour tool & accessory","stimuli/objects/paintroller01.jpg",4,4,0,1.22269,161,4,"Kitchen & utensil",NA,0.00308948895720582,-0.00416394173002211,NA,0.261996611139132,0.994663891129351,NA,0.707378551131873,-0.953388443454585,NA,0.0275353487717887,-0.0371115059447438,0.977671362875482,NA,0.00699260687178882,0.00703539666827766,0.977671362875482,0.00830063358445122
"stimuli/m2.jpg","stimuli/m5.jpg",2,"stimuli/Outdoor activity & sport item.png","stimuli/Hand labour tool & accessory.png","stimuli/Kitchen & utensil.png","stimuli/Electronic device & accessory.png",2,1,4,"stimuli/m5.jpg","Hand labour tool & accessory","stimuli/objects/jigsaw.jpg",4,2,1,0.694845,162,2,"Hand labour tool & accessory",NA,0.192370211854519,-0.25927212035698,NA,0.766255917356967,0.315034866071613,NA,0.0380628581694008,-0.0513002395188437,NA,0.00331101261911331,-0.00446250619578998,0.851053473907575,NA,0.0928438679554125,0.851053473907575,0.0314535480083818,0.0246491101286307
"stimuli/m2.jpg","stimuli/m5.jpg",2,"stimuli/Electronic device & accessory.png","stimuli/Kitchen & utensil.png","stimuli/Outdoor activity & sport item.png","stimuli/Hand labour tool & accessory.png",4,1,4,"stimuli/m5.jpg","Hand labour tool & accessory","stimuli/objects/sewingmachine01a.jpg",4,4,1,2.473235,163,4,"Hand labour tool & accessory",NA,0.142731499082896,-0.192370211854519,NA,0.826570636920507,0.233744082643033,NA,0.0282412165247641,-0.0380628581694008,NA,0.00245664747183323,-0.00331101261911331,0.915833328104139,NA,0.0462008004810794,0.915833328104139,0.0206949828492576,0.0172708885655236
"stimuli/m5.jpg","stimuli/m2.jpg",2,"stimuli/Outdoor activity & sport item.png","stimuli/Kitchen & utensil.png","stimuli/Electronic device & accessory.png","stimuli/Hand labour tool & accessory.png",2,1,4,"stimuli/m2.jpg","Kitchen & utensil","stimuli/objects/potatomasher03b.jpg",4,2,1,2.54742,164,2,"Kitchen & utensil",NA,0.00229228520367551,-0.00308948895720582,NA,0.194391682069816,-0.261996611139132,NA,0.782885834256176,0.292621448868127,NA,0.0204301984703327,-0.0275353487717887,0.867211908771403,NA,0.022192417261947,0.08539221526309,0.867211908771403,0.0252034587035604
