instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,text1,text2,text3,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,recog_resp.keys,recog_resp.rt,conf_resp.keys,conf_resp.rt,resp_assoc.keys,resp_assoc.rt,assoc_loop.thisRepN,assoc_loop.thisTrialN,assoc_loop.thisN,assoc_loop.thisIndex,assoc_loop.ran,recog_loop.thisRepN,recog_loop.thisTrialN,recog_loop.thisN,recog_loop.thisIndex,recog_loop.ran,images,corr_ans,type,order,key_resp_break.keys,key_resp_break.rt,list_loop.thisRepN,list_loop.thisTrialN,list_loop.thisN,list_loop.thisIndex,list_loop.ran,recog_list
0,0,0,0,1,Welcome to the last phase of this experiment!,.,Please press the space bar to continue,29,2021-12-06_09h58.48.412,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,.,"In this phase, you will see some objects. 

For each object, you should indicate whether you have seen it before during the experiment.

Press LEFT ARROW for YES
Press RIGHT ARROW for NO

",Please press the space bar to continue ,29,2021-12-06_09h58.48.412,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,2,2,1,.,"After that, you will be asked how confident you are of your choice.

Please rate the confidence in your choice with the numbers from 1 to 4 of your keyboard. 

The numbers correspond to:

1 = Very unsure
2 = Unsure
3 = Sure
4 = Very Sure",Please press the space bar to continue,29,2021-12-06_09h58.48.412,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,29,2021-12-06_09h58.48.412,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,0,24,24,92,1,stimuli/objects/leafrake.jpg,left,old,236,,,,,,,,
,,,,,,,,29,2021-12-06_09h58.48.412,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,left,0.9175,4,0.186,left,0.6323,0,0,0,0,1,,,,,,,,,,,,,,,,,
,,,,,,,,29,2021-12-06_09h58.48.412,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,0,25,25,8,1,stimuli/objects/wheel01.jpg,left,old,152,,,,,,,,
,,,,,,,,29,2021-12-06_09h58.48.412,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,left,1.555,4,0.2005,right,0.7186,0,0,0,0,1,,,,,,,,,,,,,,,,,
,,,,,,,,29,2021-12-06_09h58.48.412,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,0,26,26,106,1,stimuli/objects/nintendods.jpg,left,old,250,,,,,,,,
,,,,,,,,29,2021-12-06_09h58.48.412,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,left,1.6179,4,0.2868,left,0.8008,0,0,0,0,1,,,,,,,,,,,,,,,,,
,,,,,,,,29,2021-12-06_09h58.48.412,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,0,27,27,14,1,stimuli/objects/boatmotor.jpg,left,old,158,,,,,,,,
,,,,,,,,29,2021-12-06_09h58.48.412,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,left,1.1207,4,0.678,left,1.0174,0,0,0,0,1,,,,,,,,,,,,,,,,,
,,,,,,,,29,2021-12-06_09h58.48.412,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,0,28,28,32,1,stimuli/objects/pastaspoon.jpg,left,old,176,,,,,,,,
,,,,,,,,29,2021-12-06_09h58.48.412,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,left,0.7225,2,2.1261,right,0.832,0,0,0,0,1,,,,,,,,,,,,,,,,,
,,,,,,,,29,2021-12-06_09h58.48.412,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,0,29,29,104,1,stimuli/objects/lamp04a.jpg,left,old,248,,,,,,,,
,,,,,,,,29,2021-12-06_09h58.48.412,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,left,1.8815,4,0.2541,right,0.3541,0,0,0,0,1,,,,,,,,,,,,,,,,,
,,,,,,,,29,2021-12-06_09h58.48.412,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,0,30,30,18,1,stimuli/objects/cellphone.jpg,left,old,162,,,,,,,,
,,,,,,,,29,2021-12-06_09h58.48.412,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,left,0.8077,4,0.1446,left,0.559,0,0,0,0,1,,,,,,,,,,,,,,,,,
,,,,,,,,29,2021-12-06_09h58.48.412,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,0,31,31,56,1,stimuli/objects/tupperware03a.jpg,left,old,200,,,,,,,,
,,,,,,,,29,2021-12-06_09h58.48.412,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,right,1.1422,2,0.5426,,,,,,,,0,32,32,116,1,stimuli/objects/lockingplier.jpg,right,new,260,,,,,,,,
,,,,,,,,29,2021-12-06_09h58.48.412,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,right,2.8348,2,0.2716,,,,,,,,0,33,33,44,1,stimuli/objects/toaster01.jpg,right,new,188,,,,,,,,
,,,,,,,,29,2021-12-06_09h58.48.412,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,left,0.8877,4,0.2249,left,2.2132,0,0,0,0,1,,,,,,,,,,,,,,,,,
,,,,,,,,29,2021-12-06_09h58.48.412,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,0,34,34,139,1,stimuli/objects/toothpick02.jpg,left,old,283,,,,,,,,
,,,,,,,,29,2021-12-06_09h58.48.412,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,left,1.516,2,0.4337,right,0.8342,0,0,0,0,1,,,,,,,,,,,,,,,,,
,,,,,,,,29,2021-12-06_09h58.48.412,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,0,35,35,38,1,stimuli/objects/espressomachine.jpg,left,old,182,,,,,,,,
