instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,text1,text2,text3,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,recog_resp.keys,recog_resp.rt,conf_resp.keys,conf_resp.rt,recog_loop.thisRepN,recog_loop.thisTrialN,recog_loop.thisN,recog_loop.thisIndex,recog_loop.ran,images,corr_ans,type,order,resp_assoc.keys,resp_assoc.rt,assoc_loop.thisRepN,assoc_loop.thisTrialN,assoc_loop.thisN,assoc_loop.thisIndex,assoc_loop.ran,key_resp_break.keys,key_resp_break.rt,list_loop.thisRepN,list_loop.thisTrialN,list_loop.thisN,list_loop.thisIndex,list_loop.ran,recog_list
0,0,0,0,1,Welcome to the last phase of this experiment!,.,Please press the space bar to continue,27,2021-11-29_18h04.23.160,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,.,"In this phase, you will see some objects. 

For each object, you should indicate whether you have seen it before during the experiment.

Press LEFT ARROW for YES
Press RIGHT ARROW for NO

",Please press the space bar to continue ,27,2021-11-29_18h04.23.160,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,2,2,1,.,"After that, you will be asked how confident you are of your choice.

Please rate the confidence in your choice with the numbers from 1 to 4 of your keyboard. 

The numbers correspond to:

1 = Very unsure
2 = Unsure
3 = Sure
4 = Very Sure",Please press the space bar to continue,27,2021-11-29_18h04.23.160,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,27,2021-11-29_18h04.23.160,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,,,,,0,34,34,118,1,stimuli/objects/sledgehammer.jpg,left,old,119,,,,,,,,,,,,,,,
,,,,,,,,27,2021-11-29_18h04.23.160,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,right,2.4861,2,0.5954,0,35,35,72,1,stimuli/objects/cclamp.jpg,right,new,73,,,,,,,,,,,,,,,
,,,,,,,,27,2021-11-29_18h04.23.160,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,right,2.6244,4,0.3323,0,36,36,128,1,stimuli/objects/tripod01.jpg,right,new,129,,,,,,,,,,,,,,,
,,,,,,,,27,2021-11-29_18h04.23.160,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,left,1.9272,4,0.4475,,,,,,,,,,left,0.4722,0,0,0,0,1,,,,,,,,
,,,,,,,,27,2021-11-29_18h04.23.160,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,,,,,0,37,37,34,1,stimuli/objects/hockeygoaliemask.jpg,left,old,35,,,,,,,,,,,,,,,
,,,,,,,,27,2021-11-29_18h04.23.160,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,right,1.6838,3,2.2499,0,38,38,110,1,stimuli/objects/lock03a.jpg,right,new,111,,,,,,,,,,,,,,,
,,,,,,,,27,2021-11-29_18h04.23.160,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,right,1.6832,4,1.2001,0,39,39,32,1,stimuli/objects/mitresaw.jpg,right,new,33,,,,,,,,,,,,,,,
,,,,,,,,27,2021-11-29_18h04.23.160,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,left,2.7154,3,0.816,,,,,,,,,,left,0.75,0,0,0,0,1,,,,,,,,
,,,,,,,,27,2021-11-29_18h04.23.160,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,,,,,0,40,40,49,1,stimuli/objects/volleyball.jpg,left,old,50,,,,,,,,,,,,,,,
,,,,,,,,27,2021-11-29_18h04.23.160,premceCat2_ses-02_part-02_label-phase2,2020.2.10,MacIntel,60,,,,,right,1.5945,3,0.4144,0,41,41,30,1,stimuli/objects/printer02.jpg,right,new,31,,,,,,,,,,,,,,,
